Wavelength (nm),EQE(%)
308.8031899,9.616740455
319.4782987,9.896642209
330.1274406,10.32022758
340.6792066,11.28262654
351.2147432,12.33482776
361.6864783,13.74006412
368.456861,16.11985583
373.9282241,18.5943701
377.6551984,20.6976425
380.1743502,22.94438212
382.6835841,25.24600091
385.0234696,27.58545657
388.0600889,30.11616279
390.4056772,32.87367533
394.7787717,37.19415771
393.6428865,34.74406293
396.4347811,39.97774966
398.7545828,42.42833561
401.3727155,45.02660602
404.4236662,47.56793434
406.8416553,49.83490652
409.5555951,52.08288919
412.0656224,54.38011765
415.4940492,56.81103967
418.3877018,59.32352668
421.7537449,61.7399487
425.7374761,63.97570588
430.2011354,66.25353488
435.16079,68.48453146
441.0675493,70.8702306
447.6134337,73.13649248
454.7785363,75.21362244
462.759487,77.63220657
472.6225345,79.70783982
483.0298595,81.46947892
493.5134623,82.80904738
504.0717199,83.73552543
514.6608133,84.49137918
525.2742507,85.11252954
535.9006716,85.66183808
546.5644198,86.00460142
557.3141836,85.87141276
568.070439,85.7023032
578.6433031,86.54795921
589.2810844,87.03440617
599.9123741,87.55677403
610.4982216,88.33058824
621.0808233,89.12236289
631.6244746,90.12966298
642.1940928,90.99327944
652.8740704,91.24624052
663.5816379,91.34653774
674.321664,91.26723044
685.0779194,91.09812088
695.8260602,90.97391245
706.5693322,90.8766447
717.3466857,90.59079219
728.1029412,90.42168263
738.8559508,90.27053352
749.6284355,90.01162169
760.4009203,89.75270986
771.1604216,89.56563985
781.9637421,89.13610372
792.7508332,88.79636985
803.59635,88.13334784
814.4223915,87.57808855
825.3961199,86.20562865
833.9721158,84.31250798
837.8189466,82.21017328
842.6207079,79.91949726
845.1033889,77.21793682
846.5125,74.57096101
847.8789415,72.40533345
848.999088,70.10383037
850.7985294,67.71539672
852.5244765,64.75370725
854.9825034,61.69430643
856.1512312,59.00409029
857.5489142,56.66559337
858.5844277,54.23290926
859.8287962,51.60373461
861.5557895,48.36797049
863.3586337,45.02080404
864.4516807,42.74935509
865.3406806,40.52789672
866.3878477,38.03072959
867.313355,35.68219904
868.9393981,33.42894665
869.6191062,30.94179663
871.1714261,28.04738372
872.8333541,24.8189653
874.1919289,21.67502052
876.1836953,18.97174248
878.4415595,16.59450616
880.5540766,14.07733789
883.3388965,11.37704514
885.525227,8.544090287
888.6223231,5.630926502
892.8158003,2.700451436
896.0420999,0.135082079
900.8250171,-2.051323529
908.4451208,-3.451039672
918.7087862,-3.891900261
929.4601729,-4.034069146
940.2115595,-4.17623803
950.9467168,-4.228604651
961.6818741,-4.280971272
972.4170315,-4.333337893
983.1521888,-4.385704514
993.6660863,-4.19473946
