Wavelength (nm),EQE
339.9396127,2.333006272
344.319382,9.16103227
350.280206,15.52748919
360.8146909,24.34002353
377.8898953,26.41337556
391.6818996,32.14651279
402.2912197,39.26776873
418.6413262,40.09320009
438.1866648,45.12530507
450.9340383,47.4265548
464.4484999,50.36265843
471.0191924,55.54261366
481.7502114,59.91347604
497.1466287,64.65714792
512.5497051,69.25032468
528.7617698,73.19550015
545.268589,70.47922404
557.9968611,64.98243637
567.5959867,59.66381899
577.9487894,54.94723469
592.2080597,50.12015959
603.2572248,47.30092024
628.6241234,38.33333609
645.197479,34.1133374
660.2279581,29.49207534
672.1354274,24.91029602
683.2862347,19.79394316
691.9751395,17.41118317
701.7342888,8.476029581
708.0476115,77.41655854
718.9553505,7.253008165
736.191114,5.697724814
753.4173646,4.35743448
770.6297782,3.329861261
780.7865983,3.042483227
