Wavelength (nm),EQE(%)
406.2378247,79.27088406
432.7445211,82.12569061
450.3449675,83.88700758
469.0056818,84.81778139
487.6663961,86.10480519
506.3271104,86.81391234
524.9878247,86.50968615
543.648539,87.16733496
562.3092532,87.4370671
580.9699675,87.32284091
593.5720083,85.83499227
609.8092532,85.66373377
628.4699675,83.97409091
647.1306818,83.16319805
665.7913961,81.37855519
684.4521104,79.625579
703.1128247,77.84093615
723.4699675,75.70909091
742.1306818,73.13278139
757.0215548,66.56263919
767.5771104,60.245579
772.6663961,54.21647186
776.9074675,47.88596591
780.3003247,42.34260281
781.9967532,36.63185877
785.3896104,29.95641234
786.2378247,24.98926948
789.6306818,19.05403139
792.1753247,12.81739448
797.2646104,6.657662338
801.5056818,1.764031385
