# Renewables.ninja Solar PV (Point API) - 42.360, -71.058 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/New_York, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/New_York", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "42.3602534", "lon": "-71.0582912", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 19:00,0,0,0,1.851
2019-01-01 01:00,2018-12-31 20:00,0,0,0,1.483
2019-01-01 02:00,2018-12-31 21:00,0,0,0,1.151
2019-01-01 03:00,2018-12-31 22:00,0,0,0,1.129
2019-01-01 04:00,2018-12-31 23:00,0,0,0,1.348
2019-01-01 05:00,2019-01-01 00:00,0,0,0,1.586
2019-01-01 06:00,2019-01-01 01:00,0,0,0,2.104
2019-01-01 07:00,2019-01-01 02:00,0,0,0,3.037
2019-01-01 08:00,2019-01-01 03:00,0,0,0,3.703
2019-01-01 09:00,2019-01-01 04:00,0,0,0,4.354
2019-01-01 10:00,2019-01-01 05:00,0,0,0,4.892
2019-01-01 11:00,2019-01-01 06:00,0,0,0,5.339
2019-01-01 12:00,2019-01-01 07:00,0.012,0.014,0.008,6.011
2019-01-01 13:00,2019-01-01 08:00,0.101,0.060,0.052,7.011
2019-01-01 14:00,2019-01-01 09:00,0.303,0.201,0.105,7.869
2019-01-01 15:00,2019-01-01 10:00,0.569,0.459,0.122,8.564
2019-01-01 16:00,2019-01-01 11:00,0.645,0.544,0.121,8.413
2019-01-01 17:00,2019-01-01 12:00,0.770,0.708,0.101,7.691
2019-01-01 18:00,2019-01-01 13:00,0.794,0.753,0.083,7.002
2019-01-01 19:00,2019-01-01 14:00,0.670,0.619,0.067,6.057
2019-01-01 20:00,2019-01-01 15:00,0.359,0.319,0.036,4.845
2019-01-01 21:00,2019-01-01 16:00,0,0.004,0.001,3.521
2019-01-01 22:00,2019-01-01 17:00,0,0,0,2.615
2019-01-01 23:00,2019-01-01 18:00,0,0,0,1.898
2019-01-02 00:00,2019-01-01 19:00,0,0,0,1.230
2019-01-02 01:00,2019-01-01 20:00,0,0,0,0.472
2019-01-02 02:00,2019-01-01 21:00,0,0,0,-0.418
2019-01-02 03:00,2019-01-01 22:00,0,0,0,-1.411
2019-01-02 04:00,2019-01-01 23:00,0,0,0,-2.002
2019-01-02 05:00,2019-01-02 00:00,0,0,0,-2.685
