Wavelength (nm),Irradiance W/m2/nm,"Wavelength, microns",E-490 W/m2/micron
119.5,6.19E-05,0.1195,6.19E-02
120.5,5.61E-04,0.1205,0.5614
121.5,4.90E-03,0.1215,4.901
122.5,1.18E-03,0.1225,1.184
123.5,4.77E-05,0.1235,4.77E-02
124.5,3.43E-05,0.1245,3.43E-02
125.5,2.88E-05,0.1255,2.88E-02
126.5,3.52E-05,0.1265,3.52E-02
127.5,2.13E-05,0.1275,2.13E-02
128.5,1.73E-05,0.1285,1.73E-02
129.5,3.99E-05,0.1295,3.99E-02
130.5,1.21E-04,0.1305,0.1206
131.5,3.98E-05,0.1315,3.98E-02
132.5,4.13E-05,0.1325,4.13E-02
133.5,1.68E-04,0.1335,0.168
134.5,4.57E-05,0.1345,4.57E-02
135.5,3.80E-05,0.1355,3.80E-02
136.5,3.09E-05,0.1365,3.09E-02
137.5,2.92E-05,0.1375,2.92E-02
138.5,3.97E-05,0.1385,3.97E-02
139.5,7.56E-05,0.1395,7.56E-02
140.5,6.08E-05,0.1405,6.08E-02
141.5,4.21E-05,0.1415,4.21E-02
142.5,4.68E-05,0.1425,4.68E-02
143.5,5.11E-05,0.1435,5.11E-02
144.5,5.09E-05,0.1445,5.09E-02
145.5,5.54E-05,0.1455,5.54E-02
146.5,7.09E-05,0.1465,7.09E-02
147.5,8.49E-05,0.1475,8.49E-02
148.5,8.20E-05,0.1485,8.20E-02
149.5,7.96E-05,0.1495,7.96E-02
150.5,8.70E-05,0.1505,8.70E-02
151.5,9.27E-05,0.1515,9.27E-02
152.5,1.16E-04,0.1525,0.1163
153.5,1.30E-04,0.1535,0.1299
154.5,2.06E-04,0.1545,0.2059
155.5,2.14E-04,0.1555,0.2144
156.5,1.85E-04,0.1565,0.1847
157.5,1.72E-04,0.1575,0.1717
158.5,1.68E-04,0.1585,0.1675
159.5,1.75E-04,0.1595,0.1754
160.5,1.93E-04,0.1605,0.1934
161.5,2.23E-04,0.1615,0.2228
