# Renewables.ninja Weather (Point API) - 53.381, -1.470 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, temperature in ºC, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/London", "temperature": "\u00baC", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "53.3806626", "lon": "-1.4702278", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature,radiation_surface
2019-01-01 00:00,2019-01-01 00:00,7.785,0
2019-01-01 01:00,2019-01-01 01:00,7.984,0
2019-01-01 02:00,2019-01-01 02:00,8.089,0
2019-01-01 03:00,2019-01-01 03:00,8.189,0
2019-01-01 04:00,2019-01-01 04:00,8.216,0
2019-01-01 05:00,2019-01-01 05:00,8.009,0
2019-01-01 06:00,2019-01-01 06:00,7.330,0
2019-01-01 07:00,2019-01-01 07:00,6.398,0
2019-01-01 08:00,2019-01-01 08:00,5.723,8.439
2019-01-01 09:00,2019-01-01 09:00,6.234,71.641
2019-01-01 10:00,2019-01-01 10:00,6.551,139.718
2019-01-01 11:00,2019-01-01 11:00,6.990,203.420
2019-01-01 12:00,2019-01-01 12:00,7.382,207.851
2019-01-01 13:00,2019-01-01 13:00,7.297,170.611
2019-01-01 14:00,2019-01-01 14:00,6.443,99.051
2019-01-01 15:00,2019-01-01 15:00,3.995,18.858
2019-01-01 16:00,2019-01-01 16:00,2.521,0
2019-01-01 17:00,2019-01-01 17:00,1.878,0
2019-01-01 18:00,2019-01-01 18:00,1.272,0
2019-01-01 19:00,2019-01-01 19:00,0.804,0
2019-01-01 20:00,2019-01-01 20:00,0.183,0
2019-01-01 21:00,2019-01-01 21:00,-0.398,0
2019-01-01 22:00,2019-01-01 22:00,-0.901,0
2019-01-01 23:00,2019-01-01 23:00,-1.270,0
2019-01-02 00:00,2019-01-02 00:00,-1.403,0
2019-01-02 01:00,2019-01-02 01:00,-1.276,0
2019-01-02 02:00,2019-01-02 02:00,-1.125,0
2019-01-02 03:00,2019-01-02 03:00,-0.977,0
2019-01-02 04:00,2019-01-02 04:00,-0.938,0
2019-01-02 05:00,2019-01-02 05:00,-0.830,0
2019-01-02 06:00,2019-01-02 06:00,-0.785,0
2019-01-02 07:00,2019-01-02 07:00,-0.767,0
2019-01-02 08:00,2019-01-02 08:00,-0.592,8.287
2019-01-02 09:00,2019-01-02 09:00,1.056,66.202
2019-01-02 10:00,2019-01-02 10:00,2.424,125.271
2019-01-02 11:00,2019-01-02 11:00,3.304,158.874
